#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Sidley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
49A,1,Peralkaline phonolite,Mount Sidley,LeMasurier and Thomson,Table B.9.1,,wet chemistry,H.B. Wiik,,tephra weight %,53.85,0.47,21.06,4.44,1.38,0.19,1.01,1.51,9.64,5.87,0.18,0.91,0.19,0.1,0,100.7,tephra ppm,189,244,12,0,14,35,131,377,2,19,235,61,45,12,0,81,129,1686
52A,2,Tephrophonolite,Mount Sidley,LeMasurier and Thomson,Table B.9.1,,wet chemistry,H.B. Wiik,,tephra weight %,53.94,1,17.54,6.06,2.16,0.24,1.91,2.65,6.91,3.85,0.66,3.47,0.27,0,0,100.66,tephra ppm,735,209,7,0,9,35,97,235,2,9,104,199,17,4,30,78,155,850
50A,3,Benmoreite,Mount Sidley,LeMasurier and Thomson,Table B.9.1,,wet chemistry,H.B. Wiik,,tephra weight %,55.34,0.9,16.79,1.5,8.59,0.25,1.15,4.02,6.39,3.01,0.59,0,0.32,0,0,99.74,tephra ppm,1011,237,-99,27,-99,-99,99,119,8,-99,81,544,10,3,14,38,-99,587
54A,4,Phonolite,Mount Sidley,LeMasurier and Thomson,Table B.9.1,,wet chemistry,H.B. Wiik,,tephra weight %,56.74,0.28,18.95,4.31,1.63,0.18,0.13,1.18,9.37,5.55,0.06,0,0.84,0,0,99.36,tephra ppm,68,362,-99,6,-99,-99,152,337,13,-99,244,20,51,5,8,105,-99,1760
53b,5,Trachyte,Mount Sidley,LeMasurier and Thomson,Table B.9.1,,wet chemistry,H.B. Wiik,,tephra weight %,61.51,0.38,16.03,4.26,2.34,0.14,0.22,1.45,6.93,5.2,0.06,1.73,0,0,0,100.25,tephra ppm,166,333,4,9,15,36,152,289,5,165,319,25,55,15,5,113,165,1541
