#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Prince Gustav Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,,,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,Element,Rb,Sr,,,,,,,,,,,
27839,1,Hawaiite,Egg Island,LeMasurier and Thomson,Table D.10.1,,wet chemistry,,,Tephra weight %,47.94,1.71,16.53,4.5,4.9,0.18,6.84,7.93,4.21,1.55,0.47,2,1.1,99.86,Tephra ppm,-99,-99,,,,,,,,,,,
27812,2,Hawaiite,Red Island,LeMasurier and Thomson,Table D.10.1,,wet chemistry,,,Tephra weight %,48.28,2.57,15.37,2.39,8.15,0.18,7.26,9.75,3.97,1.42,0.5,0,0.05,99.89,Tephra ppm,19,590,,,,,,,,,,,
